;user;tweet_type;verified;followers;hashtags
216;gabrielfernOFC;recent;False;75;['VemDavidLuiz']
217;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
218;Davidlucxs;recent;False;203;['ForaBolsonaro', 'Caruaru', 'Pernambuco']
219;aeltonsmonteiro;recent;False;14;['vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz']
220;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
221;DiaaaxRamon;recent;False;326;['EPJuliette']
222;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
223;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
224;soniacarvalho11;recent;False;76;['vemDavidLuiz']
225;aeltonsmonteiro;recent;False;14;['vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz']
226;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
227;RDflamengo;recent;False;47;['vemDavidLuiz']
228;cesarpantera13;recent;False;2186;['VemDavidLuiz']
229;JonecildoCampos;recent;False;60;['ToContigoBolsonaro']
230;sergio_cf1;recent;False;455;['realificial']
231;Dr_Achiles;recent;False;1710;['vemcomigofalardesaúde']
232;FabbioAle;recent;False;797;['ForaBolsonaro']
233;Jam_Ajna;recent;False;81;['ADAPT']
234;aeltonsmonteiro;recent;False;14;['vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz']
235;magachojr;recent;False;324;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
236;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
237;SamaraCasartel1;recent;False;162;['Tbt']
238;Davidlucxs;recent;False;203;['Instagram', 'Juliette']
239;tiagoneves_tia;recent;False;49;['vemDavidLuiz']
240;Ewerton72520225;recent;False;46;['fnvportugal']
241;CledirRocha;recent;False;148;['tbt', 'Cristal', 'RioGrandeDoSul', 'bentogonçalves', 'museu']
242;aeltonsmonteiro;recent;False;14;['vemDavidLuiz']
243;digaldani;recent;False;743;['EPJuliette']
244;ImortalPe;recent;False;1756;['AquiéNáutico']
245;robvolpato;recent;False;690;['CanalhasdeToga']
246;Dieguinhojgd;recent;False;1396;['Quelespike']
247;Natanaelmeloo;recent;False;186;['vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz']
248;aeltonsmonteiro;recent;False;14;['vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz']
249;thiagojadao;recent;False;811;['RaiderNation']
250;magachojr;recent;False;324;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
251;Douglas39364522;recent;False;3;['CidadeAlertarj']
252;ana_vicentino;recent;False;597;['ABBAVoyage', 'AbbaIsBack']
253;TvViciada;recent;False;959;['AmoresVerdadeiros149']
254;CRFNACAODERUBRO;recent;False;1357;['vemDavidLuiz', 'vemDavidLuiz']
255;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
256;crf_rml;recent;False;971;['VemDavidLuiz']
257;magachojr;recent;False;324;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
258;aeltonsmonteiro;recent;False;14;['vemDavidLuiz']
259;RDflamengo;recent;False;47;['vemDavidLuiz']
260;Natanaelmeloo;recent;False;186;['vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz']
261;aeltonsmonteiro;recent;False;14;['vemDavidLuiz']
262;PauloRA55041156;recent;False;3;['NaVeia']
263;sabrinasantos40;recent;False;603;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
264;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz', 'VemDavidLuiz']
265;aeltonsmonteiro;recent;False;14;['vemDavidLuiz', 'vemDavidLuiz', 'vemDavidLuiz']
266;rooseveltruzaum;recent;False;114;['VemDavidLuis']
267;brunokintiliano;recent;False;99;['Dia7VaiSerGIGANTESCO']
268;Jornal_Canyons;recent;False;284;['F5', 'USD']
269;cesarpantera13;recent;False;2186;['VemDavidLuiz']
270;sylviotrujillo;recent;False;1865;['FielComJP']
271;cesarpantera13;recent;False;2186;['VemDavidLuiz']
272;cesarpantera13;recent;False;2186;['VemDavidLuiz']
273;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
274;CRFNACAODERUBRO;recent;False;1357;['vemDavidLuiz', 'vemDavidLuiz']
275;jsoares_of;recent;False;4;['CidadeAlertaRJ']
276;AngellaBritto2;recent;False;93;['AmoresVerdadeiros149']
277;NexDogs;recent;False;6;['Fique', 'SonhoDeJose', 'FreeAutoresBlueHope', 'nofapsetember', 'MEU', 'AfterNoCinema']
278;PauloRA55041156;recent;False;3;['NaVeia']
279;AlineMota_;recent;False;116;['CidadeAlertaRJ']
280;aahbarbosa;recent;False;177;['gratidão']
281;rafyfa;recent;False;2323;['EPJuliette']
282;WellynaS_;recent;False;1728;['NosTemposDoImperador']
283;FelipeBarretod3;recent;False;3079;['VemDavidLuiz', 'VemDavidLuiz']
284;profjoseps;recent;False;632;['MarcoTemporalNao']
285;castrozeu;recent;False;1746;['Worlds2021']
286;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
287;medinajnvt;recent;False;482;['VemDaviLuiz']
288;RDflamengo;recent;False;47;['vemDavidLuiz']
289;Caarliinhaa__;recent;False;637;['Adooorooo']
290;vsvasconcelos;recent;False;149;['CapitaoBundaSuja']
291;LlausNando;recent;False;296;['VemDavidLuiz', 'VemDavidLuiz']
292;HighQualityAP;recent;False;406;['vemparahighquality']
293;carloshugueney;recent;False;3044;['questaodestilo']
294;medinajnvt;recent;False;482;['vemDavidLuiz']
